Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,5,2015-07-31,5263,555,1,1,0,1
2,5,2015-07-31,6064,625,1,1,0,1
3,5,2015-07-31,8314,821,1,1,0,1
4,5,2015-07-31,13995,1498,1,1,0,1
5,5,2015-07-31,4822,559,1,1,0,1
6,5,2015-07-31,5651,589,1,1,0,1
7,5,2015-07-31,15344,1414,1,1,0,1
8,5,2015-07-31,8492,833,1,1,0,1
9,5,2015-07-31,8565,687,1,1,0,1
10,5,2015-07-31,7185,681,1,1,0,1
11,5,2015-07-31,10457,1236,1,1,0,1
12,5,2015-07-31,8959,962,1,1,0,1
13,5,2015-07-31,8821,568,1,1,0,0
14,5,2015-07-31,6544,710,1,1,0,1
15,5,2015-07-31,9191,766,1,1,0,1
16,5,2015-07-31,10231,979,1,1,0,1
17,5,2015-07-31,8430,946,1,1,0,1
18,5,2015-07-31,10071,936,1,1,0,1
19,5,2015-07-31,8234,718,1,1,0,1
20,5,2015-07-31,9593,974,1,1,0,0
1,4,2015-07-30,5020,546,1,1,0,1
2,4,2015-07-30,5567,601,1,1,0,1
3,4,2015-07-30,8977,823,1,1,0,1
4,4,2015-07-30,10387,1276,1,1,0,1
5,4,2015-07-30,4943,539,1,1,0,1
6,4,2015-07-30,4790,541,1,1,0,1
7,4,2015-07-30,11560,1116,1,1,0,1
8,4,2015-07-30,8420,882,1,1,0,1
9,4,2015-07-30,7539,651,1,1,0,1
10,4,2015-07-30,6186,556,1,1,0,1
11,4,2015-07-30,7361,874,1,1,0,1
12,4,2015-07-30,7996,835,1,1,0,1
13,4,2015-07-30,7648,474,1,1,0,0
14,4,2015-07-30,5672,613,1,1,0,1
15,4,2015-07-30,8891,741,1,1,0,1
16,4,2015-07-30,10226,953,1,1,0,1
17,4,2015-07-30,7555,850,1,1,0,1
18,4,2015-07-30,7361,710,1,1,0,1
19,4,2015-07-30,8400,687,1,1,0,1
20,4,2015-07-30,12379,1185,1,1,0,0
1,3,2015-07-29,4782,523,1,1,0,1
2,3,2015-07-29,6402,727,1,1,0,1
3,3,2015-07-29,7610,716,1,1,0,1
4,3,2015-07-29,10514,1258,1,1,0,1
5,3,2015-07-29,5899,658,1,1,0,1
6,3,2015-07-29,5275,542,1,1,0,1
7,3,2015-07-29,12074,1166,1,1,0,1
8,3,2015-07-29,7029,698,1,1,0,1
9,3,2015-07-29,7776,625,1,1,0,1
10,3,2015-07-29,5524,518,1,1,0,1
11,3,2015-07-29,8378,1064,1,1,0,1
12,3,2015-07-29,9236,989,1,1,0,1
13,3,2015-07-29,6648,406,1,1,0,0
14,3,2015-07-29,5412,579,1,1,0,1
15,3,2015-07-29,7583,668,1,1,0,1
16,3,2015-07-29,9471,930,1,1,0,0
17,3,2015-07-29,7179,861,1,1,0,1
18,3,2015-07-29,7833,732,1,1,0,1
19,3,2015-07-29,7182,610,1,1,0,1
20,3,2015-07-29,10728,1040,1,1,0,0
1,2,2015-07-28,5011,560,1,1,0,1
2,2,2015-07-28,5671,646,1,1,0,1
3,2,2015-07-28,8864,818,1,1,0,1
4,2,2015-07-28,10275,1191,1,1,0,1
5,2,2015-07-28,6083,598,1,1,0,1
6,2,2015-07-28,4839,576,1,1,0,1
7,2,2015-07-28,12342,1158,1,1,0,1
8,2,2015-07-28,6717,695,1,1,0,1
9,2,2015-07-28,8751,678,1,1,0,1
10,2,2015-07-28,6140,593,1,1,0,1
11,2,2015-07-28,6938,938,1,1,0,1
12,2,2015-07-28,8822,861,1,1,0,1
13,2,2015-07-28,6819,446,1,1,0,0
14,2,2015-07-28,5957,628,1,1,0,1
15,2,2015-07-28,7516,646,1,1,0,1
16,2,2015-07-28,9695,1013,1,1,0,0
17,2,2015-07-28,9316,983,1,1,0,1
18,2,2015-07-28,7704,724,1,1,0,1
19,2,2015-07-28,7717,633,1,1,0,1
20,2,2015-07-28,10884,1048,1,1,0,0
1,1,2015-07-27,6102,612,1,1,0,1
2,1,2015-07-27,6627,638,1,1,0,1
3,1,2015-07-27,8107,768,1,1,0,1
4,1,2015-07-27,11812,1379,1,1,0,1
5,1,2015-07-27,7059,650,1,1,0,1
6,1,2015-07-27,5723,582,1,1,0,1
7,1,2015-07-27,14869,1340,1,1,0,1
8,1,2015-07-27,8739,841,1,1,0,1
9,1,2015-07-27,10649,777,1,1,0,1
10,1,2015-07-27,7212,662,1,1,0,1
11,1,2015-07-27,8796,1070,1,1,0,1
12,1,2015-07-27,10227,979,1,1,0,1
13,1,2015-07-27,7926,527,1,1,0,0
14,1,2015-07-27,6614,727,1,1,0,1
15,1,2015-07-27,9053,753,1,1,0,1
16,1,2015-07-27,10260,1038,1,1,0,0
17,1,2015-07-27,8293,904,1,1,0,1
18,1,2015-07-27,10055,888,1,1,0,1
19,1,2015-07-27,8825,732,1,1,0,1
20,1,2015-07-27,11255,1183,1,1,0,0
1,7,2015-07-26,0,0,0,0,0,0
2,7,2015-07-26,0,0,0,0,0,0
3,7,2015-07-26,0,0,0,0,0,0
4,7,2015-07-26,0,0,0,0,0,0
5,7,2015-07-26,0,0,0,0,0,0
6,7,2015-07-26,0,0,0,0,0,0
7,7,2015-07-26,0,0,0,0,0,0
8,7,2015-07-26,0,0,0,0,0,0
9,7,2015-07-26,0,0,0,0,0,0
10,7,2015-07-26,0,0,0,0,0,1
11,7,2015-07-26,0,0,0,0,0,0
12,7,2015-07-26,0,0,0,0,0,0
13,7,2015-07-26,0,0,0,0,0,0
14,7,2015-07-26,0,0,0,0,0,0
15,7,2015-07-26,0,0,0,0,0,0
16,7,2015-07-26,0,0,0,0,0,0
17,7,2015-07-26,0,0,0,0,0,0
18,7,2015-07-26,0,0,0,0,0,0
19,7,2015-07-26,0,0,0,0,0,0
20,7,2015-07-26,0,0,0,0,0,0
1,6,2015-07-25,4364,500,1,0,0,0
2,6,2015-07-25,2512,316,1,0,0,0
3,6,2015-07-25,3878,412,1,0,0,0
4,6,2015-07-25,9322,1219,1,0,0,0
5,6,2015-07-25,2030,228,1,0,0,0
6,6,2015-07-25,2892,306,1,0,0,0
